Surname,
अग्रवाल,
अधिकारी,
अमात्य,
अमात्‍य,
अर्याल,
आचार्य,
आमात्य,
आलम,
उक्याब,
उक्याव,
उदाश,
उपाध्याय,
उपाध्‍याय,
उप्रेती,
एडम्स,
कंसाकार,
कक्षपति,
कक्षपती,
कटुवाल,
कडेल,
कपाली,
कमरान,
कर्माचार्य,
कलिम,
काबरा,
कायस्थ,
कारंजीत,
कार्की,
किराँत,
किल्ला,
कुइकेल,
कुथु,
कुमारी,
कूचिकार,
के.सी,
के.सी.,
के‍.सी,
कोइराला,
क्षेत्री,
खकुरेल,
खड्का,
खड्की,
खड्गि,
खड्गी,
खड्गे,
खत्री,
खनाल,
खवास,
खाकी,
खेतान,
गडतौला,
गड्तौला,
गनाई,
गरतौला,
गिरी,
गुप्ता,
गुप्‍ता,
गुरागाई,
गुरुङ,
गुरुङग,
गुरुङ्ग,
गुरुवार्चय,
गूरुङ,
गोयल,
गौतम,
घले,
घिमिरे,
घोरसाइने,
घोरासौनी,
चालिसे,
चुड्डा,
चौधरी,
चौलागाई,
च्यामे,
च्यामेनी,
च्‍यामे,
ज.ब.रा,
ज.ब.रा.,
ज.व.रा.,
जैन,
जोशी,
ज्ञवाली,
टिबडेवाल,
टिब्रेवाल,
ठकुरी,
ठाकुर,
ठुकरी,
डंगोल,
डालमियाँ,
डाल्मीया,
डिम्जुङ,
ड‌ंगोल,
ढकाल,
ढङ्गेल,
ढुंगाना,
ढुंगेल,
ढुङ्गाना,
ढुङ्गेल,
तणुकार,
तण्डुकार,
तण्‍डुकार,
तामाङ,
तामाङग,
तामाङ्ग,
ताम्राकार,
तिमिल्सिना,
तिमिल्‍सिना,
तिम्ला,
तिवारी,
तुलाचन,
तुलाधर,
तुलाधार,
थपा,
थापा),
थापा,
दर्जि,
दर्जी,
दर्शनधारी,
दवाडी,
दाहाल),
दाहाल,
दीयाली,
दुगड,
दुगड/जैन,
दुगड/झुनझुनवाला,
दुगढ,
दुगल,
देउजा,
देवान,
द्दिन,
धनावत,
धेके,
धौला,
नकर्मी,
नगर्जी,
नाहटा,
निरौला,
नेपाल,
नेपाली,
न्यौपाने,
न्‍यौपाने,
पंन्सारी,
पण्डित,
पनेरु,
पन्त,
पन्‍त,
पराजुली,
परियार,
पलाञ्चोके,
पलान्चोके,
पहारी,
पाठक,
पाण्डे,
पाण्डेय,
पाण्‍डे,
पान्‍डेय,
पुजारी,
पुडासैनी,
पोखरेल,
पोडे,
पोद्धार,
पोद्वार,
पौडेल),
पौडेल,
पौड्याल,
प्याकुरेल,
प्याकुर्‍याल,
प्रजापति,
प्रजापती,
प्रधान,
प्रधानाङ,
प्रधानाङ्ग,
प्रसाई,
प्‍याकुरेल,
प्‍याकुर्‍याल,
फरहान,
बंशल,
बगाले,
बज्राचार्य,
बनिया,
बराल,
बस्नेत,
बस्न्यात,
बस्‍नेत,
बाङगेल,
बानु,
बाराही,
बास्‍तोला,
बिष्‍ठ,
बुढाथोकी,
बेगानी,
बेगामी,
बैद्य,
बैष्णव,
बोथरा,
बोहोरा,
भट्ट,
भट्टराई),
भट्टराई,
भण्डारी,
भारद्बाज,
भिमसरिया,
भिमसरीया,
भुजु,
भुजू,
भुसाल,
मगर),
मगर,
मगर्नी,
मनन्धर,
मर्हजन,
मल्ल,
मल्‍ल,
महत,
महतो,
महरा,
महर्जन,
मानन्धर,
मानन्‍धर,
मानन‍धर,
मान्नधर,
मास्के,
मित्तल,
मिश्र,
मुक्तान,
मुडभरी,
मुदिन,
मुसलमान,
मुसलीम,
मुस्लीम,
मुस्‍लीम,
मूल,
मैनाली,
मोक्तान,
रंजितकार,
रंजीत,
रजक,
रजौरीयद,
रन्जितकार,
रन्‍जितकार,
रन्‍िजतकार,
रसाइली,
रसायली,
राई,
राउत,
राजकर्णिकार,
राजकर्निकार,
राठी,
राठौर,
राणा,
रावल,
रिजाल,
रिमाल,
रिसाल,
रेग्मी),
रेग्मी,
रेग्‍मी,
र‌जितकार,
लमा,
लमिनि,
लमिनी,
लम्साल,
लामा,
लामिछाने,
लामीछाने,
लिम्बु,
लेखक,
लोहनी,
वज्राचार्य,
वराल,
वस्नेत,
वाग्‍ले,
वाडे,
वैषनाब,
वैष्णव,
शंकर,
शर्मा,
शाक्य,
शाक्‍य,
शाह,
शाह/थापा,
शाही,
शिल्पकार,
शिवाकोटी,
शेरचन,
शेर्पा,
शेर्पिनी,
श्रेष्ट,
श्रेष्ठ,
श्रेष्‍ठ,
संघई,
संघाई,
सत्याल,
सत्‍याल,
सरावगी,
सरिया,
सरीया,
साई,
साखकर्मी,
सापकोटा,
साह,
साही,
सिं,
सिंघल,
सिंह,
सिं‌खडा,
सिग्देल,
सिटौला,
सिन्दुराकार,
सिलवाल,
सिल्वाल,
सिहं,
सि‌ह,
सी,
सी.,
सुनार,
सुनुवार,
सुवाल,
सुवेदी,
सैयद,
स्यानी,
हलवाई,
हायजु,
हायाजु,
